city_1,city_2,distance
london,london,0
birmingham,london,102.96
wolverhampton,london,114.46
bolton,london,175.01
wigan,london,177.39
sunderland,london,240.58
blackburn,london,184.68
liverpool,london,179.15
manchester,london,163.51
birmingham,london,102.96
stoke,london,137.36
newcastle,london,247.33
blackpool,london,202.23
swansea,london,166.87
norwich,london,96.19
reading,london,39.45
southampton,london,71.57
hull city,london,154.29
cardiff,london,134.19
leicester,london,89.59
burnley,london,181.86
bournemouth,london,95.47
watford,london,17.22
middlesbrough,london,217.05
brighton,london,46.99
huddersfield,london,164.15
london,birmingham,102.96
birmingham,birmingham,0
wolverhampton,birmingham,11.5
bolton,birmingham,82.49
wigan,birmingham,80.15
sunderland,birmingham,169.26
blackburn,birmingham,91.28
liverpool,birmingham,77.92
manchester,birmingham,70.38
birmingham,birmingham,0
stoke,birmingham,39.46
newcastle,birmingham,172.87
blackpool,birmingham,103.77
swansea,birmingham,104.48
norwich,birmingham,135.57
reading,birmingham,81.27
southampton,birmingham,110.7
hull city,birmingham,109.07
cardiff,birmingham,87.94
leicester,birmingham,34.46
burnley,birmingham,91.8
bournemouth,birmingham,121.24
watford,birmingham,86.02
middlesbrough,birmingham,147.68
brighton,birmingham,136.32
huddersfield,birmingham,80.95
london,wolverhampton,114.46
birmingham,wolverhampton,11.5
wolverhampton,wolverhampton,0
bolton,wolverhampton,73.73
wigan,wolverhampton,70.19
sunderland,wolverhampton,163.21
blackburn,wolverhampton,82.13
liverpool,wolverhampton,66.88
manchester,wolverhampton,61.78
birmingham,wolverhampton,11.5
stoke,wolverhampton,30.5
newcastle,wolverhampton,166.26
blackpool,wolverhampton,93.28
swansea,wolverhampton,101.92
norwich,wolverhampton,143.77
reading,wolverhampton,92.18
southampton,wolverhampton,120
hull city,wolverhampton,108.78
cardiff,wolverhampton,89.12
leicester,wolverhampton,41.56
burnley,wolverhampton,83.45
bournemouth,wolverhampton,129.16
watford,wolverhampton,97.51
middlesbrough,wolverhampton,142.27
brighton,wolverhampton,147.46
huddersfield,wolverhampton,74.57
london,bolton,175.01
birmingham,bolton,82.49
wolverhampton,bolton,73.73
bolton,bolton,0
wigan,bolton,14.25
sunderland,bolton,94.98
blackburn,bolton,9.69
liverpool,bolton,32.07
manchester,bolton,12.13
birmingham,bolton,82.49
stoke,bolton,43.26
newcastle,bolton,96.01
blackpool,bolton,32.09
swansea,bolton,155.27
norwich,bolton,165.99
reading,bolton,161.71
southampton,bolton,193.19
hull city,bolton,81.3
cardiff,bolton,154.41
leicester,bolton,85.52
burnley,bolton,10.47
bournemouth,bolton,202.87
watford,bolton,159.79
middlesbrough,bolton,77.84
brighton,bolton,214.75
huddersfield,bolton,21.59
london,wigan,177.39
birmingham,wigan,80.15
wolverhampton,wigan,70.19
bolton,wigan,14.25
wigan,wigan,0
sunderland,wigan,106.22
blackburn,wigan,15.49
liverpool,wigan,17.92
manchester,wigan,16.93
birmingham,wigan,80.15
stoke,wigan,41.03
newcastle,wigan,106.29
blackpool,wigan,24.92
swansea,wigan,144.14
norwich,wigan,175.48
reading,wigan,161
southampton,wigan,190.15
hull city,wigan,94.76
cardiff,wigan,145.61
leicester,wigan,88.93
burnley,wigan,22.73
bournemouth,wigan,198.27
watford,wigan,161.55
middlesbrough,wigan,90.48
brighton,wigan,215.19
huddersfield,wigan,34.97
london,sunderland,240.58
birmingham,sunderland,169.26
wolverhampton,sunderland,163.21
bolton,sunderland,94.98
wigan,sunderland,106.22
sunderland,sunderland,0
blackburn,sunderland,90.74
liverpool,sunderland,122.52
manchester,sunderland,104.72
birmingham,sunderland,169.26
stoke,sunderland,133.94
newcastle,sunderland,10.28
blackpool,sunderland,101
swansea,sunderland,250.14
norwich,sunderland,192.12
reading,sunderland,239.26
southampton,sunderland,276.39
hull city,sunderland,90.79
cardiff,sunderland,248.65
leicester,sunderland,157.43
burnley,sunderland,84.59
bournemouth,sunderland,289.8
watford,sunderland,228.91
middlesbrough,sunderland,23.53
brighton,sunderland,285.87
huddersfield,sunderland,88.63
london,blackburn,184.68
birmingham,blackburn,91.28
wolverhampton,blackburn,82.13
bolton,blackburn,9.69
wigan,blackburn,15.49
sunderland,blackburn,90.74
blackburn,blackburn,0
liverpool,blackburn,32.38
manchester,blackburn,21.41
birmingham,blackburn,91.28
stoke,blackburn,51.85
newcastle,blackburn,90.82
blackpool,blackburn,24.19
swansea,blackburn,159.62
norwich,blackburn,174.61
reading,blackburn,170.99
southampton,blackburn,201.93
hull city,blackburn,86.93
cardiff,blackburn,160.54
leicester,blackburn,95.2
burnley,blackburn,9.35
bournemouth,blackburn,211.1
watford,blackburn,169.41
middlesbrough,blackburn,75.42
brighton,blackburn,224.24
huddersfield,blackburn,28.59
london,liverpool,179.15
birmingham,liverpool,77.92
wolverhampton,liverpool,66.88
bolton,liverpool,32.07
wigan,liverpool,17.92
sunderland,liverpool,122.52
blackburn,liverpool,32.38
liverpool,liverpool,0
manchester,liverpool,31.07
birmingham,liverpool,77.92
stoke,liverpool,42.32
newcastle,liverpool,121.86
blackpool,liverpool,28.68
swansea,liverpool,129.15
norwich,liverpool,186.2
reading,liverpool,159.05
southampton,liverpool,184.99
hull city,liverpool,111.03
cardiff,liverpool,133.51
leicester,liverpool,93.48
burnley,liverpool,40.49
bournemouth,liverpool,191.09
watford,liverpool,162.69
middlesbrough,liverpool,107.8
brighton,liverpool,214.24
huddersfield,liverpool,51.78
london,manchester,163.51
birmingham,manchester,70.38
wolverhampton,manchester,61.78
bolton,manchester,12.13
wigan,manchester,16.93
sunderland,manchester,104.72
blackburn,manchester,21.41
