"","day","method","sample","sample_no","time","accu","rps"
"1",2,"t",106,19,3.95,0.610778443113772,0.168369956853943
"2",3,"t",106,19,4.10999999999999,0.610778443113772,0.168369956853943
"3",2,"t",106,21,3.95,0.598802395209581,0.169047161625073
"4",3,"t",106,21,4.10999999999999,0.598802395209581,0.169047161625073
"5",3,"s",106,19,2.88,0.580838323353293,0.169314259683016
"6",2,"t",106,25,3.95,0.598802395209581,0.169712774354087
"7",3,"t",106,25,4.10999999999999,0.598802395209581,0.169712774354087
"8",3,"s",142,21,2.88,0.580838323353293,0.16977951396549
"9",3,"s",142,25,2.88,0.598802395209581,0.169860125300759
"10",3,"s",160,19,2.88,0.598802395209581,0.169891158625184
"11",2,"t",142,25,3.95,0.580838323353293,0.169959313994362
"12",3,"t",142,25,4.10999999999999,0.580838323353293,0.169959313994362
"13",4,"w",106,19,1.91999999999996,0.586826347305389,0.169969236175831
"14",3,"s",106,21,2.88,0.586826347305389,0.170014333827789
"15",3,"s",142,23,2.88,0.598802395209581,0.170166284833954
"16",2,"t",142,21,3.95,0.598802395209581,0.170200130195028
"17",3,"t",142,21,4.10999999999999,0.598802395209581,0.170200130195028
"18",2,"t",106,23,3.95,0.604790419161677,0.170340662008721
"19",3,"t",106,23,4.10999999999999,0.604790419161677,0.170340662008721
"20",3,"w",106,19,2,0.562874251497006,0.170341959796403
"21",2,"t",142,19,3.95,0.586826347305389,0.170587173914246
"22",3,"t",142,19,4.10999999999999,0.586826347305389,0.170587173914246
"23",4,"t",160,19,3.94999999999999,0.586826347305389,0.170610394346136
"24",4,"w",142,25,1.91999999999996,0.592814371257485,0.170613706953979
"25",2,"t",160,19,3.95,0.592814371257485,0.170627071317191
"26",3,"t",160,19,4.10999999999999,0.592814371257485,0.170627071317191
"27",4,"w",106,21,1.91999999999996,0.586826347305389,0.170651331145831
"28",2,"t",142,23,3.95,0.598802395209581,0.170714539070204
"29",3,"t",142,23,4.10999999999999,0.598802395209581,0.170714539070204
"30",3,"s",142,19,2.88,0.580838323353293,0.170756649658148
"31",3,"w",142,25,2,0.574850299401198,0.17081485068238
"32",3,"s",106,25,2.88,0.568862275449102,0.170908769097861
"33",4,"w",160,19,1.91999999999996,0.598802395209581,0.170941086416078
"34",2,"s",106,19,3.28,0.55688622754491,0.170999446298493
"35",3,"w",106,21,2,0.568862275449102,0.171044737186094
"36",3,"w",142,21,2,0.574850299401198,0.171117551139526
"37",3,"w",160,19,2,0.580838323353293,0.171185021351217
"38",4,"w",142,21,1.91999999999996,0.574850299401198,0.171196482611402
"39",4,"s",106,19,2.81,0.586826347305389,0.171199568557428
"40",3,"s",106,23,2.88,0.580838323353293,0.171319811007318
"41",3,"w",142,23,2,0.580838323353293,0.171517737578867
"42",4,"s",160,19,2.81,0.604790419161677,0.171553037382388
"43",4,"w",142,23,1.91999999999996,0.568862275449102,0.171561933621013
