,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9,Comp.10,Comp.11,Comp.12,Comp.13,Comp.14,Comp.15,Comp.16,Comp.17,Comp.18,Comp.19,Comp.20,Comp.21,Comp.22,Comp.23,Comp.24,Comp.25,Comp.26,Comp.27,Comp.28,Comp.29,Comp.30,Comp.31,Comp.32,Comp.33,Comp.34,Comp.35,Comp.36,Comp.37,Comp.38,Comp.39,Comp.40,Comp.41,Comp.42,Comp.43,Comp.44,Comp.45
Odd_Close_odd1_12BET,-0.235390559,-0.09200139,0.006433738,0.104903314,0.181882582,0.060477792,-0.064245438,0.30233672,-0.179291763,0.173267983,-0.132918876,-0.017041872,-0.058205105,-0.012742059,-0.078971109,-0.095149998,0.024455639,-0.183199393,-4.33E-05,-0.034457431,0.001509206,0.029096715,0.049207776,-0.027459611,0.014026898,-0.046695283,-0.020465798,-0.013963127,0.009043568,-0.012568446,0.053419542,-0.045286376,0.106733542,0.130681695,0.071432658,-0.08734845,0.103989258,-0.396503549,-0.441651582,0.109279222,-0.023204961,0.054534871,0.029597316,-0.111426242,-0.461845655
Odd_Open_odd1_10Bet,-0.232172986,-0.093426335,0.003361612,0.083440773,0.154728804,0.066719061,-0.057134866,0.32685134,-0.19322818,0.193463004,-0.156552641,-0.023376395,-0.049875939,-0.019144865,-0.084650946,-0.100463053,0.021389545,-0.19639759,-0.01136632,-0.013296398,0.001109035,0.019994909,0.07972475,-0.007509825,0.021780446,-0.028354391,-0.01331855,-0.019684023,0.004796451,0.035512338,-0.036258435,-0.022711454,0.129116783,-0.055104294,-0.08985214,-0.060129441,-0.116140941,-0.011772336,0.47922416,-0.174089746,0.032966439,0.019683983,-0.125957904,-0.40876067,0.362564891
Away_ELO,-0.171904096,-0.236975934,-0.006073717,-0.012625091,-0.017089878,0.03024887,0.001140509,0.221884804,-0.122428161,0.060736576,-0.055895225,-0.003801326,-0.070454675,-0.005821729,-0.076320811,-0.038540277,0.032314084,-0.0755742,0.037790468,-0.044194729,-0.08645994,-0.215184534,0.020024693,0.199224257,-0.090337794,0.514379126,0.037055051,0.021181694,-0.108774693,0.096218023,-0.1475421,0.108764162,-0.226602717,-0.134785103,-0.04160567,0.128575193,-0.060700749,0.494331617,-0.170494928,0.113654408,-0.065393478,0.022354439,-0.006411559,0.091019135,-0.073148654
Away_Avg_SoT_Diff,-0.163287619,-0.259781958,-0.055285677,0.034316457,0.021141908,0.040378308,-0.041450985,-0.089584071,0.102179865,-0.00729767,0.082089766,0.060330824,0.070008184,-0.019515587,0.038616284,0.05014955,0.016991103,0.011910149,0.02803148,0.115467431,0.22886826,-0.125043297,-0.121512978,-0.184465366,0.111553318,-0.033805949,-0.06864386,0.156743995,-0.02536799,0.445705613,0.061413325,-0.28136858,-0.004763664,0.016130295,0.050279357,-0.278900829,0.246731965,0.161560019,-0.005755863,-0.025481857,0.164206511,0.390161884,0.228394497,-0.025695246,0.053852664
Away_Avg_SoT_Made,-0.158451085,-0.250459231,-0.054712286,0.045911478,0.035713208,0.009289225,-0.040457564,-0.147820505,0.081846794,-0.018066348,0.071757041,0.031247353,0.029723489,-0.05828973,0.048264122,0.036552456,-0.034030198,0.029983399,0.024255351,0.168032374,0.329379291,0.091265858,0.087156803,0.130393758,-0.135927796,-0.164004593,0.018819208,0.026719773,0.07086696,0.499755743,-0.250840368,0.108415327,-0.001142052,-0.052294455,-0.052783364,0.243928244,-0.191406737,-0.173419669,-0.022310612,0.001020037,-0.162664759,-0.335213018,-0.194539015,0.013600268,-0.061890951
Away_Avg_Goal_Diff,-0.157075248,-0.244052553,0.238906219,-0.05789561,0.021998518,0.002481354,-0.015529771,-0.02542859,0.081071767,0.016460912,0.080419813,0.04515924,0.03399236,-0.040382032,0.027152187,0.022838674,0.028974714,0.025655529,0.003291428,-0.000350505,-0.081642961,-0.322035174,-0.298823962,0.000966605,-0.01281709,-0.163193872,-0.062237947,-0.03527964,0.040139335,-0.144342404,0.083809207,0.021997498,0.050955594,0.211714128,0.13454194,-0.076522101,-0.129636192,0.092847717,0.023295806,0.251126691,0.488867708,-0.30525975,-0.279570124,-0.022765649,-0.015980166
Away_Avg_Goal_Scored,-0.153202372,-0.232617389,0.247414938,-0.042103846,0.043922292,-0.018951396,-0.00471962,-0.089059284,0.052620453,-0.003813038,0.049425191,-0.009102448,0.018900516,0.011873449,0.049902427,0.004211114,-0.012211398,0.070058267,-0.018991865,0.031422574,-0.012573146,0.095940318,0.065663309,0.454799582,-0.400896345,-0.214724483,-0.116429357,-0.033293188,-0.090001974,-0.209286508,0.129846542,-0.051452442,0.011810831,0.198060393,0.202374437,-0.134920604,-0.131179926,0.111953245,0.028386397,-0.171841506,-0.293520174,0.207343038,0.181880993,-0.014967413,-0.00087218
Away_Avg_Shot_Diff,-0.149695191,-0.24303378,-0.246514444,0.099964093,0.008468061,0.057935617,-0.047422622,-0.082356169,0.065847043,-0.021821617,0.029309852,0.020064481,0.062365667,0.040465399,0.018404034,0.012457126,0.013045273,0.012359461,-0.001302014,0.11891329,0.20141364,0.006704338,0.069042892,-0.184056392,0.163432786,0.186783855,0.00441308,0.03179412,-0.077362169,-0.36921638,0.242809034,-0.20168059,0.019986239,0.019282052,0.016805166,-0.178642726,0.188836487,0.106706556,0.074066224,-0.109578882,-0.365345731,-0.36897903,-0.221234558,0.073355899,-0.058891125
Away_Avg_Shots_Made,-0.141596007,-0.228954146,-0.250176841,0.092538087,-0.003663365,0.029149209,-0.04856316,-0.154187384,0.06466765,-0.038628286,0.013933851,0.025673817,0.014601195,-0.061907534,0.008756014,0.00090369,-0.056628128,0.019516071,-0.011022538,0.168167725,0.304668686,0.070961709,0.167807627,-0.039425578,0.061259933,0.05473212,0.193250487,-0.17151597,0.068594657,-0.414872536,-0.07455873,0.345702747,-0.014089936,-0.024729493,-0.051821107,0.123430779,-0.151428375,-0.060881006,-0.033449049,0.09511007,0.308789402,0.310975964,0.173558038,-0.065618013,0.041808329
Away_Avg_Win,-0.133487961,-0.225033977,0.274115396,-0.056144204,0.037837056,-0.061186191,0.000913001,-0.074527627,-0.050082767,-0.111911244,-0.129585849,-0.116912549,0.086425522,0.111597087,-0.072346155,-0.000639035,-0.006509606,0.1213717,0.073257599,0.029455373,-0.062235451,-0.305564834,-0.304778469,-0.036695772,0.025177125,-0.119198316,-0.0523097,-0.011088246,0.074974369,-0.156308382,-0.001918766,0.091579763,-0.02127394,-0.414071426,-0.295114535,0.227582709,0.273390562,-0.237280841,0.009056084,-0.097002561,-0.191390637,0.074236736,0.091359811,0.002614429,0.037544264
