,,1,0,2,,,,,
1641,04zko0D5,0.655172414,0.172413793,0.172413793,,,,,
1642,0AFLSIpA,0.724137931,0.172413793,0.103448276,,,,,
1643,0Ct34Nck,0.448275862,0.413793103,0.137931034,,,,,
1644,0Ek9mv4n,0.448275862,0.275862069,0.275862069,,,,,
1645,0U3juSVT,0.689655172,0.24137931,0.068965517,,,,,
1646,0YH8p8kJ,0.24137931,0.24137931,0.517241379,,,,,
1647,0pWUgeq9,0.551724138,0.24137931,0.206896552,,,,,
1648,0ru2ZT1P,0.793103448,0.068965517,0.137931034,,,,,
1649,2HYbnAt7,0.551724138,0.24137931,0.206896552,,,,,
1650,2JNrXIJ5,0.344827586,0.206896552,0.448275862,,,,,
1651,2XdK0uDh,0.655172414,0.275862069,0.068965517,,,,,
1652,2iRTUmAt,0.75862069,0.172413793,0.068965517,,,,,
1653,2wjIznvo,0.275862069,0.103448276,0.620689655,,,,,
1654,42Y7vGqM,0.310344828,0.379310345,0.310344828,,,,,
1655,46OanUK6,0.206896552,0.137931034,0.655172414,,,,,
1656,4p5YZuip,0.275862069,0.206896552,0.517241379,,,,,
1657,4tH2POZE,0.379310345,0.310344828,0.310344828,,,,,
1658,4teX9qzS,0.724137931,0.172413793,0.103448276,,,,,
1659,4tkXfsT9,0.24137931,0.24137931,0.517241379,,,,,
1660,4xkH5hrL,0.517241379,0.344827586,0.137931034,,,,,
1661,670PLAXP,0.482758621,0.344827586,0.172413793,,,,,
1662,6Rxtx2Zb,0.310344828,0.310344828,0.379310345,,,,,
1663,6VrCC6fC,0.448275862,0.206896552,0.344827586,,,,,
1664,6kujlWBf,0.275862069,0.310344828,0.413793103,,,,,
1665,6oPl9XmK,0.413793103,0.24137931,0.344827586,,,,,
1666,6okvXXyd,0.24137931,0.275862069,0.482758621,,,,,
1667,6qOpR595,0.275862069,0.448275862,0.275862069,,,,,
1668,8AZxhZDL,0.137931034,0.344827586,0.517241379,,,,,
1669,8AcG1Lcn,0.206896552,0.310344828,0.482758621,,,,,
1670,8Ae87ED8,0.517241379,0.137931034,0.344827586,,,,,
1671,8E1OB55F,0.724137931,0.172413793,0.103448276,,,,,
1672,8Gl5Kfhj,0.413793103,0.344827586,0.24137931,,,,,
1673,8pSKbJs5,0.448275862,0.275862069,0.275862069,,,,,
1674,A1KAJg3g,0.413793103,0.24137931,0.344827586,,,,,
1675,A3kYszYN,0.689655172,0.137931034,0.172413793,,,,,
1676,AFaqYhIn,0.724137931,0.172413793,0.103448276,,,,,
1677,APb5Jak6,0.620689655,0.275862069,0.103448276,,,,,
1678,AqNnWxZB,0.793103448,0.137931034,0.068965517,,,,,
1679,AsOgRp52,0.172413793,0.206896552,0.620689655,,,,,
1680,AsdOd3bc,0.275862069,0.379310345,0.344827586,,,,,
1681,AuZ3udUF,0.448275862,0.24137931,0.310344828,,,,,
1682,Auqz7GJm,0.655172414,0.172413793,0.172413793,,,,,
1683,COkzYDMk,0.103448276,0.103448276,0.793103448,,,,,
1684,CSunkCdl,0.24137931,0.344827586,0.413793103,,,,,
1685,ClZQ6yOj,0.724137931,0.24137931,0.034482759,,,,,
1686,CnQgsObA,0.413793103,0.310344828,0.275862069,,,,,
1687,EBzm0W5r,0.310344828,0.344827586,0.344827586,,,,,
1688,EDuesIa3,0.310344828,0.448275862,0.24137931,,,,,
1689,EZQ1LFYt,0.517241379,0.206896552,0.275862069,,,,,
1690,EgD9VK0i,0.310344828,0.310344828,0.379310345,,,,,
1691,Ei0BeEJK,0.448275862,0.24137931,0.310344828,,,,,
1692,Eitlzt4B,0.551724138,0.24137931,0.206896552,,,,,
1693,GG8MqBL1,0.75862069,0.172413793,0.068965517,,,,,
1694,GM1DHwKI,0.379310345,0.310344828,0.310344828,,,,,
1695,I3uWQyBJ,0.655172414,0.172413793,0.172413793,,,,,
1696,IBZf2hYI,0.103448276,0.172413793,0.724137931,,,,,
1697,IRNIHXX5,0.482758621,0.275862069,0.24137931,,,,,
1698,IkpEnbJh,0.689655172,0.206896552,0.103448276,,,,,
1699,Imy83sDe,0.379310345,0.310344828,0.310344828,,,,,
1700,IoAQRx0G,0.310344828,0.379310345,0.310344828,,,,,
1701,Ioj4TUWH,0.413793103,0.413793103,0.172413793,,,,,
1702,KEt0F8Ag,0.689655172,0.24137931,0.068965517,,,,,
1703,KGo8df4E,0.517241379,0.344827586,0.137931034,,,,,
1704,KSLYT7Pn,0.620689655,0.24137931,0.137931034,,,,,
